_idClt;Clt;Designt;NSerie;Adresse
11414;STE K2 CORPORATION;BLCOLEQ;4711413;GAUTHIER
1253;ATLAS VOYAGE;BLCOLEQ;3911504;MAARIF
15449;EGLOFFE;BLCOLEQ;54502054;AIN SBAA
15807;NP MOROCCO SARL;BLKIKKO;3810858;MOHAMEDIA
15987;RA DIFFUSION;BLCOLEQ;3911476;AV. HASSAN II
1612;DISWAY;SC10004817;29011311;SIDI MAAROUF
12731;DISWAY SAPINO;SC10004817;29011151;NOUACER
16359;ECO-MEDIAS;BLCOLEQ;3811659;BD EL MASSIRA EL KHADRA
16359;ECO-MEDIAS;BLCOLEQ;3911511;BD EL MASSIRA EL KHADRA
16359;ECO-MEDIAS;BLCOLEQ;3911600;BD EL MASSIRA EL KHADRA
16359;ECO-MEDIAS;BLCOLEQ;3911492;BD EL MASSIRA EL KHADRA
16359;ECO-MEDIAS;BLCOLEQ;4711424;BD EL MASSIRA EL KHADRA
17041;ANIMAC SA;BLKIKKO;2910974;AIN SBAA
17507;BMCI -CENTRE D'AFFAIRE CASA-CENTRE;BLCOLEQ;3911584;GHANDI
18368;SAGE SOFT WARE SARL;BLKIKKO;2910980;MARINA
18436;INSUREL;BLCOLEQ;3911597;AV. HASSAN SEGHIR
19298;SOCIETE LAITERIE CHERGUI;BLCOLEQ;3811656;ROUTE D'AZEMMOUR
19377;ECART SERVICES MOROCCO;BLKIKKO;2910986;MAARIF
1953;TIMAR;BLCOLEQ;4711426;AIN SBAA
19813;SINASTONE;BLCOLEQ;3911587;ROUTE EL JADIDA LISSASFA
21207;GASTOR;SC10004817;29012003;AIN DIAB
20368;IB GROUP;BLCOLEQ;3911594;SIDI MAAROUF
20383;ROOM LUX;BLKIKKO;3810865;SOCRATE
20478;GROUPE SCOLAIRE PYTHAGORE;BLCOLEQ;3911487;AIN SBAA
20549;CLINIQUE O.R.L BEAUSEJOUR;BLKIKKO;3810876;BEAUSEJOUR
20666;ANRT;BLCOLEQ;3911486;RABAT
20666;ANRT;BLCOLEQ;3911500;RABAT
20666;ANRT;BLCOLEQ;4711411;RABAT
20749;ISGA CASABLANCA;BLCOLEQ;3911588;ROUTE EL JADIDA
20758;CASABLANCA AMENAGEMENT;BLCOLEQ;4711459;MARINA
20816;CENTRE ZIYAD POUR LE CONTROLE TECHN;BLCOLEQ;3811657;SIDI MAAROUF
20859;SCR MAROC;BLCOLEQ;3811658;MDINA
20859;SCR MAROC;BLCOLEQ;3911509;MDINA
20859;SCR MAROC;BLCOLEQ;3811660;MDINA
20930;MAROC INGENOV;BLCOLEQ;3911491;RABAT
